draw_idx,node_idx,correct,trust_after,active_after,successes,draws,wilson_lower
1,78,1,0.950000,1,1,1,0.084548
2,185,1,0.950000,1,2,2,0.155914
3,42,1,0.950000,1,3,3,0.216958
4,71,1,0.950000,1,4,4,0.269768
5,59,1,0.950000,1,5,5,0.315905
6,170,1,0.950000,1,6,6,0.356558
7,142,0,0.000000,0,6,7,0.291779
8,59,1,0.950000,1,7,8,0.328570
9,51,1,0.950000,1,8,9,0.361825
10,16,1,0.950000,1,9,10,0.392003
11,123,1,0.950000,1,10,11,0.419497
12,14,1,0.950000,1,11,12,0.444640
13,10,1,0.950000,1,12,13,0.467715
14,5,1,0.950000,1,13,14,0.488963
15,83,1,0.950000,1,14,15,0.508591
16,62,1,0.950000,1,15,16,0.526774
17,196,1,0.950000,1,16,17,0.543666
18,172,1,0.950000,1,17,18,0.559398
19,7,1,0.950000,1,18,19,0.574085
20,103,1,0.950000,1,19,20,0.587828
21,166,1,0.950000,1,20,21,0.600714
22,193,1,0.950000,1,21,22,0.612820
23,170,1,0.950000,1,22,23,0.624216
24,78,1,0.950000,1,23,24,0.634961
25,24,1,0.950000,1,24,25,0.645110
26,194,1,0.950000,1,25,26,0.654710
27,7,1,0.950000,1,26,27,0.663806
28,83,1,0.950000,1,27,28,0.672435
29,48,1,0.950000,1,28,29,0.680633
30,14,1,0.950000,1,29,30,0.688432
31,136,1,0.950000,1,30,31,0.695858
32,185,1,0.950000,1,31,32,0.702940
33,46,1,0.950000,1,32,33,0.709699
34,34,0,0.000000,0,32,34,0.677365
35,126,1,0.950000,1,33,35,0.684349
36,130,1,0.950000,1,34,36,0.691038
37,146,1,0.950000,1,35,37,0.697450
38,112,1,0.950000,1,36,38,0.703601
39,22,1,0.950000,1,37,39,0.709508
40,16,1,0.950000,1,38,40,0.715185
41,59,0,0.630996,1,38,41,0.688932
42,32,1,0.950000,1,39,42,0.694751
43,153,1,0.950000,1,40,43,0.700357
44,67,1,0.950000,1,41,44,0.705761
45,129,1,0.950000,1,42,45,0.710975
46,191,0,0.000000,0,42,46,0.688328
47,49,1,0.950000,1,43,47,0.693634
48,186,1,0.950000,1,44,48,0.698763
49,107,1,0.950000,1,45,49,0.703724
50,123,0,0.473684,0,45,50,0.683574
51,189,0,0.000000,0,45,51,0.664852
52,126,1,0.950000,1,46,52,0.670061
53,133,1,0.950000,1,47,53,0.675111
54,23,1,0.950000,1,48,54,0.680010
55,164,0,0.000000,0,48,55,0.662999
56,163,1,0.950000,1,49,56,0.667910
57,39,1,0.950000,1,50,57,0.672681
58,40,1,0.950000,1,51,58,0.677318
59,7,1,0.950000,1,52,59,0.681826
60,62,1,0.950000,1,53,60,0.686210
61,71,1,0.950000,1,54,61,0.690476
62,63,1,0.950000,1,55,62,0.694628
63,95,1,0.950000,1,56,63,0.698671
64,64,0,0.000000,0,56,64,0.683730
65,7,1,0.950000,1,57,65,0.687794
66,194,1,0.950000,1,58,66,0.691755
67,80,0,0.000000,0,58,67,0.677810
68,112,0,0.473684,0,58,68,0.664536
69,23,1,0.950000,1,59,69,0.668607
70,113,1,0.950000,1,60,70,0.672582
71,108,1,0.950000,1,61,71,0.676463
72,133,1,0.950000,1,62,72,0.680253
73,44,1,0.950000,1,63,73,0.683957
74,103,1,0.950000,1,64,74,0.687576
75,72,1,0.950000,1,65,75,0.691113
76,18,1,0.950000,1,66,76,0.694572
77,193,1,0.950000,1,67,77,0.697955
78,65,0,0.000000,0,67,78,0.686064
79,132,1,0.950000,1,68,79,0.689456
80,95,1,0.950000,1,69,80,0.692775
81,16,1,0.950000,1,70,81,0.696025
82,107,1,0.950000,1,71,82,0.699208
83,188,1,0.950000,1,72,83,0.702324
84,20,0,0.000000,0,72,84,0.691286
85,194,0,0.630996,1,72,85,0.680661
86,10,1,0.950000,1,73,86,0.683853
87,106,1,0.950000,1,74,87,0.686982
88,193,1,0.950000,1,75,88,0.690051
89,166,1,0.950000,1,76,89,0.693060
90,166,1,0.950000,1,77,90,0.696011
91,42,1,0.950000,1,78,91,0.698907
92,177,1,0.950000,1,79,92,0.701748
93,101,1,0.950000,1,80,93,0.704537
94,113,1,0.950000,1,81,94,0.707274
